id,R2,MAE,RMSE,lon,lat
54738,0.988954794,0.628968272,0.871926506,118.4,37.05
54744,0.988042159,0.668232352,0.930612435,118.55,37.58
54749,0.981435135,0.788522663,1.100883787,119.95,37.18
54752,0.97853053,0.836606342,1.156628967,120.77,37.8
54753,0.982147071,0.804316694,1.08818053,120.33,37.63
54755,0.985102709,0.74004056,1.01654543,120.38,37.33
54759,0.98190073,0.761822064,1.041538637,120.85,37.32
54800,0.990344235,0.596341221,0.842793314,115.25,37
54801,0.990508991,0.603234087,0.846901601,115.48,36.85
54802,0.991265555,0.560005632,0.787878086,115.73,36.82
54803,0.991569595,0.573277608,0.816274623,116.02,36.98
54804,0.990044295,0.620875897,0.866799923,115.18,36.3
54805,0.991594906,0.565872848,0.797481444,115.47,36.45
54806,0.99147614,0.589639338,0.824783492,115.97,36.42
54807,0.992178461,0.540763737,0.769868079,115.77,36.15
54808,0.99150453,0.56596124,0.798464084,115.63,36.23
54809,0.991069316,0.595320697,0.842782721,115.28,36.55
54810,0.991504976,0.571195359,0.805000073,116.27,36.87
54811,0.990215135,0.599395232,0.851893978,116.62,36.93
54812,0.989657127,0.640271703,0.890782868,116.72,36.73
54814,0.990987843,0.579225175,0.807578673,116.25,36.53
54815,0.990460168,0.569655136,0.809172859,116.27,36.38
54816,0.986079386,0.709849577,0.97151005,116.8,36.52
54817,0.992505237,0.556561028,0.772928269,115.87,35.98
54818,0.987877165,0.681885985,0.935449345,116.42,36.25
54819,0.988463195,0.673633361,0.937551425,116.8,36.18
54820,0.989946241,0.619696028,0.867212129,115.2,36.82
54821,0.988640772,0.647507851,0.905100602,117.2,37
54822,0.983999738,0.757710167,1.06871204,117.73,36.87
54823,0.983143654,0.778179888,1.064873869,117,36.6
54824,0.985330663,0.71128393,1.001279743,117.95,36.63
54825,0.982465875,0.775303962,1.076958533,117.85,36.52
54827,0.988514789,0.655167114,0.889115742,117.15,36.17
54828,0.986783258,0.663471384,0.906756442,117.68,36.23
54829,0.9864793,0.719311827,1.012840117,117.87,36.77
54830,0.988978114,0.632398416,0.870788829,117.93,36.82
54831,0.986100633,0.706530821,0.982690835,118.5,36.65
54832,0.983150849,0.788105758,1.083390562,118.8,36.87
54833,0.985529304,0.708182845,0.985445808,118.08,36.97
54834,0.986870079,0.692179122,0.963640731,118.28,36.87
54835,0.99037421,0.600494064,0.820329071,118.55,36.5
54836,0.986722641,0.683309719,0.953548389,118.17,36.18
54837,0.988674693,0.673731042,0.928358548,118.83,36.68
54841,0.98892053,0.647751022,0.894423534,119.42,36.87
54842,0.986785388,0.703548737,0.967117006,120,36.78
54843,0.989382508,0.623772001,0.868064414,119.2,36.75
54844,0.990463047,0.613106308,0.831854971,119.18,36.42
54846,0.98778833,0.665816902,0.926486252,119.73,36.38
54848,0.988094662,0.679644127,0.939248531,119.42,35.98
54849,0.987147491,0.706236543,0.948583249,120.03,36.22
54851,0.987782015,0.70048824,0.948663505,120.57,36.9
54852,0.986862161,0.711879297,0.984569543,120.73,36.97
54853,0.980426423,0.853734817,1.167136607,120.42,36.17
54855,0.981694649,0.792187227,1.111413005,120.38,36.4
54857,0.983240586,0.802101789,1.091888975,120.33,36.07
54900,0.991023448,0.584546643,0.822219305,115.02,35.7
54901,0.991816352,0.557061467,0.78704645,115.17,36.08
54902,0.992314373,0.547008586,0.762691663,115.15,35.95
54903,0.991415334,0.561168238,0.7967911,115.48,35.85
54904,0.990440453,0.589260809,0.833302409,115.52,35.58
54905,0.989914134,0.622808514,0.870406008,115.93,35.58
54906,0.989760842,0.622731796,0.877384481,115.42,35.25
54907,0.989985449,0.643984225,0.895446895,116.65,34.98
54908,0.990724534,0.568745631,0.811744248,115.1,35.27
54909,0.99173681,0.583505457,0.810316269,115.52,35.08
54910,0.991300391,0.578497882,0.81769309,116.05,35.82
54911,0.988687924,0.666600798,0.929945666,116.4,35.93
54912,0.990171495,0.618482517,0.865237643,116.5,35.77
54913,0.990402043,0.622057951,0.857069809,116.82,35.75
54914,0.99146363,0.598221264,0.826723146,116.08,35.42
54915,0.987805407,0.689283272,0.948721441,116.6,35.43
54916,0.991402641,0.593968859,0.831169944,116.85,35.57
54917,0.990460963,0.628737781,0.86990059,116.33,35.13
54918,0.988724367,0.660560277,0.900198695,116.97,35.6
54919,0.987142196,0.714641477,0.955459418,116.98,35.38
54920,0.988751657,0.670043051,0.907116867,117.28,35.65
54921,0.990103359,0.62794492,0.876518667,116.33,35.42
54922,0.988174841,0.679971851,0.927995835,117.75,35.87
54923,0.988007534,0.667010087,0.908383443,117.93,35.72
54925,0.988286858,0.665744633,0.914377628,117.68,35.5
54927,0.988453422,0.687328165,0.941316834,117.2,35.1
54929,0.989686753,0.638811798,0.880082524,117.97,35.27
54932,0.988538951,0.678884389,0.923877207,118.65,35.77
54935,0.988905915,0.655073707,0.907273925,118.43,35.53
54936,0.98896658,0.659052555,0.897918807,118.83,35.57
54938,0.98971424,0.65965856,0.885419625,118.4,35.05
54939,0.988891713,0.688109164,0.920837453,118.82,35.17
54940,0.987725473,0.682081284,0.934629507,119.2,35.75
54945,0.982937113,0.863847659,1.155734505,119.55,35.47
57079,0.987411566,0.686410243,0.936497813,113.03,34.95
57081,0.984996104,0.696501085,0.96597936,113.43,34.8
57082,0.979565737,0.791988449,1.068281804,113.02,34.47
57083,0.984617661,0.741976353,1.032120121,113.65,34.72
57085,0.985431407,0.717550439,0.975289604,113.33,34.53
57086,0.987275631,0.664021075,0.927088881,113.72,34.38
57087,0.986512613,0.694620559,0.945690804,113.73,34.27
57088,0.986431338,0.710705927,0.970290557,113.5,34.18
57089,0.98895797,0.674278451,0.918349675,113.93,34.07
57090,0.988443239,0.641657674,0.888404146,113.97,34.72
57091,0.988801618,0.634916111,0.86904648,114.3,34.78
57093,0.989703518,0.630737257,0.870783579,114.82,34.85
57094,0.989604201,0.639164498,0.892368627,114.22,34.4
57095,0.989566226,0.651823186,0.883535357,114.15,34.12
57096,0.991570367,0.573220807,0.810938838,114.78,34.53
57098,0.990142294,0.636286986,0.860796014,114.4,34.08
57099,0.988660916,0.66050331,0.910052274,114.85,34.07
57191,0.989446533,0.636926558,0.895969525,114.47,34.52
58001,0.991331089,0.584883555,0.826394933,115.1,34.43
58002,0.991128993,0.598653948,0.855812722,115.58,34.85
58003,0.990533298,0.61287156,0.851720802,115.88,34.95
58004,0.98993409,0.631983454,0.88362789,115.15,34.65
58005,0.989899815,0.639201731,0.897765094,115.53,34.43
58006,0.99098558,0.607097236,0.847227953,115.88,34.38
58007,0.990122522,0.623863948,0.867179193,115.3,34.07
58008,0.989756756,0.64145235,0.904293074,115.33,34.47
58011,0.991162485,0.602584071,0.8371736,116.07,34.8
58012,0.991295221,0.631337608,0.878251131,116.65,34.67
58013,0.991248056,0.59796195,0.812973869,116.9,34.75
58015,0.991006755,0.619567502,0.863246053,116.33,34.45
58016,0.98996445,0.634647882,0.884599198,116.97,34.18
58017,0.989186783,0.665209879,0.918521641,116.13,34.25
